game_no,round_no,game_code,game_day,game_date,hmaw_status,home_team,ht_code,away_team,at_code,ground_name,game_time,time_slot,game_state
1,1,R01Car,Thursday,23/3/17,H,Carlton,Car,Richmond,Ric,MCG,7:20 pm,N,VIC
2,1,R01Col,Friday,24/3/17,H,Collingwood,Col,Western Bulldogs,Wes,MCG,7:50 pm,N,VIC
3,1,R01StK,Saturday,25/3/17,H,StKilda,StK,Melbourne,Mel,Etihad Stadium,4:35 pm,T,VIC
4,1,R01Syd,Saturday,25/3/17,H,Sydney,Syd,Port Adelaide,Por,SCG,4:35 pm,T,NSW
5,1,R01Bri,Saturday,25/3/17,A,Brisbane,Bri,Gold Coast,Gol,Metricon Stadium,7:25 pm,N,QLD
6,1,R01Ess,Saturday,25/3/17,H,Essendon,Ess,Hawthorn,Haw,MCG,7:25 pm,N,VIC
7,1,R01Nor,Sunday,26/3/17,H,North Melbourne,Nor,WCE,WCE,Etihad Stadium,1:10 pm,D,VIC
8,1,R01Ade,Sunday,26/3/17,H,Adelaide,Ade,Greater Western Sydney,Gre,Adelaide Oval,3:20 pm,D,SA
9,1,R01Fre,Sunday,26/3/17,H,Fremantle,Fre,Geelong,Gee,Domain Stadium,7:40 pm,T,WA
10,2,R02Ric,Thursday,30/3/17,H,Richmond,Ric,Collingwood,Col,MCG,7:20 pm,N,VIC
11,2,R02Wes,Friday,31/3/17,H,Western Bulldogs,Wes,Sydney,Syd,Etihad Stadium,7:50 pm,N,VIC
12,2,R02Haw,Saturday,1/4/17,H,Hawthorn,Haw,Adelaide,Ade,MCG,1:45 pm,D,VIC
13,2,R02Gre,Saturday,1/4/17,H,Greater Western Sydney,Gre,Gold Coast,Gol,Spotless Stadium,4:35 pm,T,NSW
14,2,R02Bri,Saturday,1/4/17,H,Brisbane,Bri,Essendon,Ess,Gabba,7:25 pm,N,QLD
15,2,R02WCE,Saturday,1/4/17,H,WCE,WCE,StKilda,StK,Domain Stadium,7:40 pm,T,WA
